company;source_name;source_type;url;published_date;esg_area;used_for_datanxt;notes;notes2
Microsoft;Microsoft Annual Report 2025;Annual Report;https://www.microsoft.com/investor/reports/ar25/download-center/ ;2025;"Social; Governance";yes;"Annual financial and business report; contains information on human capital, business risks and corporate governance.";
Microsoft;Microsoft 2025 Proxy Statement;Proxy Statement;https://www.microsoft.com/en-us/investor/annual-meeting;2025;Governance;yes;Information on board composition, executive compensation, shareholder voting and governance oversight.;
Microsoft;Microsoft quantifies environmental impacts of datacenter cooling;Company news / research article;https://news.microsoft.com/source/features/sustainability/microsoft-quantifies-environmental-impacts-of-datacenter-cooling-from-cradle-to-grave-in-new-nature-study/;01.05.2025;Environmental;yes;Information on data-centre cooling, energy demand, water consumption and lifecycle emissions.;
Microsoft;ITU and World Benchmarking Alliance - Greening Digital Companies 2025;Independent industry report;https://www.itu.int/en/ITU-D/Environment/Documents/Publications/2025/Greening%20Digital%20Companies%202025%20Final.pdf;05.06.2025;Environmental;yes;Independent assessment of greenhouse-gas emissions, energy use and climate commitments in the digital sector; includes Microsoft-specific context on emissions, electricity use and renewable-energy targets.
Microsoft;Microsoft 2024 Global Diversity & Inclusion Report;Diversity and Inclusion Report;https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/dni/documents/presentations/microsoftcorp_gdi_report_2024_final.pdf;23.10.2024;Social;yes;Workforce diversity, representation, inclusion initiatives and employee-related metrics.;
Microsoft;Microsoft 2025 Responsible AI Transparency Report;Responsible AI Transparency Report;https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/msc/documents/presentations/CSR/Responsible-AI-Transparency-Report-2025-vertical.pdf;01.06.2025;Social, Governance;yes;Information on responsible AI development, AI risk management, transparency, governance processes and human oversight.;
Microsoft;The carbon and water footprints of data centers and what this could mean for artificial intelligence;Peer-reviewed academic article;https://doi.org/10.1016/j.patter.2025.101430;09.01.2026;Environmental;yes;Independent research on carbon and water impacts of AI data centers and limitations of corporate environmental disclosure.;
Microsoft;Microsoft 2025 Environmental Sustainability Report;Official sustainability report / benchmark;https://www.microsoft.com/en-us/corporate-responsibility/sustainability/report/;2025;Environmental;no;"Official Microsoft environmental sustainability report; kept out of DataNXT input under the project comparison rule.";Benchmark source for carbon, water, waste, ecosystems and AI/data-center sustainability progress.
Microsoft;Microsoft 2025 Impact Summary;Official corporate responsibility and impact report;https://www.microsoft.com/en-us/corporate-responsibility/reports-hub;2025;Environmental, Social, Governance;no;Official broad ESG-related benchmark document used only for comparison with the AI-generated report; not used as DataNXT input.
Amazon;Amazon 2025 Annual Report;annual_report;https://s2.q4cdn.com/299287126/files/doc_financials/2026/ar/Amazon-2025-Annual-Report.pdf;06.02.2026;Governance;yes;Business, AWS, AI infrastructure, risks and human-capital context;
Amazon;Amazon 2026 Proxy Statement;proxy_statement;https://s2.q4cdn.com/299287126/files/doc_financials/2026/ar/Amazon-2026-Proxy-Statement.pdf;09.04.2026;Governance;yes;Board governance, sustainability oversight, executive pay and shareholder proposals;
Amazon;Amazon Racial Equity Audit Report;external_audit;https://assets.aboutamazon.com/ed/8e/1c328d464449a04defbf8b0987d3/83024-final-amazon-external-report.pdf;30.08.2024;S;yes;Independent review of racial equity, workplace processes and employee experience;
Amazon;A progress update on safe, responsible generative AI;responsible_ai;https://aws.amazon.com/blogs/machine-learning/a-progress-update-on-our-commitment-to-safe-responsible-generative-ai/;10.07.2024;G;yes;Closest counterpart to Microsoft's Responsible AI Transparency Report;
Amazon;AWS Sustainable Infrastructure - Data Centers;datacenter_sustainability;https://aws.amazon.com/sustainability/data-centers/;;E;yes;AI data-center efficiency, PUE, liquid cooling, water and circularity;
Amazon;Amazon 2024 Sustainability Report;sustainability_report;https://sustainability.aboutamazon.com/2024-amazon-sustainability-report.pdf;16.07.2025;E+S+G;no;Official ESG reference only, not used as DataNXT input;
SAP;SAP 2025 Annual Report on Form 20-F;annual_report;https://www.sap.com/docs/download/investors/2025/sap-2025-annual-report-form-20f.pdf;26.02.2026;G;yes;Business model, cloud strategy, risks, financial and human-capital context;
SAP;SAP SE Annual General Meeting 2026 Invitation;proxy_statement_equivalent;https://www.sap.com/docs/download/investors/2026/agm/sap-se-agm-2026-invitation.pdf;05.05.2026;G;yes;Closest equivalent to a proxy statement: voting items, resolutions and shareholder participation;
SAP;SAP Corporate Governance Statement 2025;governance_statement;https://www.sap.com/docs/download/investors/2026/sap-2025-cgs.pdf;17.02.2026;G;yes;Executive Board, Supervisory Board, governance structure, independence, diversity and ESG oversight;
SAP;SAP Data Center Capabilities;datacenter_sustainability;https://www.sap.com/sea/about/trust-center/data-center.html?page=1; ;E;yes;Energy-efficient data centers, cooling, renewable electricity, water minimization, e-waste and ISO standards;
SAP;SAP Global AI Ethics Policy;responsible_ai;https://www.sap.com/korea/docs/download/2022/01/a8431b91-117e-0010-bca6-c68f7e60039b.pdf;15.06.2026;G;yes;Responsible AI principles, risk classification, ethics impact assessment and governance bodies;
SAP;SAP 2023 Diversity and Inclusion Report;diversity_inclusion;https://www.sap.com/docs/download/2024/06/985de527-c47e-0010-bca6-c68f7e60039b.pdf;;S;yes;Diversity, inclusion, representation, workforce initiatives and progress metrics;
SAP;SAP Integrated Report 2025;integrated_sustainability_report;https://www.sap.com/docs/download/investors/2025/sap-2025-integrated-report.pdf;26.02.2026;E+S+G;no;Official integrated sustainability statement and validation reference only;
Zalando;Zalando Annual Financial Statements 2025 incl. Combined Management Report;annual_financial_statements;https://corporate.zalando.com/en/investor-relations/events/annual-general-meeting/annual-general-meeting-2026;12.03.2026;G;yes;Business model, risks, strategy, financial and workforce context; use this instead of the full annual report to keep the CSRD report separate
Zalando;Zalando SE AGM 2026 Convocation and Agenda;proxy_statement_equivalent;https://corporate.zalando.com/sites/default/files/media-download/zalando-se_agm-2026_1_convocation-2026.pdf;07.05.2026;G;yes;Closest equivalent to a proxy statement: agenda, voting items, supervisory board election and remuneration approval;
